,Player Id,Full Name,Age,Years Pro,Position,Factor,NBA Salary
0,17,Justin Anderson,25.7,4,G-F,-28.632561728395075,2516048
1,49,DeAndre' Bembry,25.0,3,G-F,10.801851851851856,1634640
2,94,Vince Carter,42.5,21,G-F,-2.5260683760683786,1512601
3,119,Allen Crabbe,27.3,6,G-F,-14.052688172043004,18500000
4,281,Damian Jones,24.0,3,C,0.0,1544951
5,313,Alex Len,26.1,6,C,-80.8587087087087,4350000
6,410,Jabari Parker,24.3,5,F,-63.168730158730156,20000000
7,412,Chandler Parsons,30.7,8,F,17.995833333333337,24107258
8,521,Evan Turner,30.7,9,G-F,-9.784861111111095,17868853
9,600,Alex Poythress,25.9,3,F,2.8866666666666667,1544951
10,75,Jaylen Brown,22.7,3,G,35.63833333333332,5169960
11,227,Gordon Hayward,29.3,9,F,88.52616822429907,31214295
12,291,Enes Kanter,27.2,8,C,39.48229166666664,18622514
13,486,Marcus Smart,25.4,5,G,58.99862542955327,11660716
14,538,Kemba Walker,29.2,8,G,73.26611111111112,12000000
15,102,Wilson Chandler,32.2,12,F,-8.890229885057481,12800562
16,128,Ed Davis,30.1,9,C,14.023387096774199,4449000
17,142,Spencer Dinwiddie,26.3,5,G,-5.673397435897438,1656092
18,153,Kevin Durant,30.8,12,F,279.45860215053773,30000000
19,156,Henry Ellenson,22.5,3,F,23.005072463768123,1857480
20,221,Joe Harris,27.9,5,F-G,-74.48849206349206,8000000
21,261,Kyrie Irving,27.3,8,G,141.12583333333328,20099189
22,286,DeAndre Jordan,31.0,11,C,167.76285310734463,22897200
23,317,Caris LeVert,24.9,3,G,-2.279166666666667,1702800
24,437,Taurean Prince,24.9,3,F,3.446111111111114,2526840
25,507,Garrett Temple,33.2,9,G-F,-4.013636363636363,8000000
26,40,Nicolas Batum,30.6,11,F-G,57.065178571428554,24000000
27,54,Bismack Biyombo,26.9,8,C,18.115796019900486,17000000
28,231,Willy Hernangomez,25.1,3,C,10.421604938271603,1544951
29,295,Michael Kidd-Gilchrist,25.6,7,F,49.57837837837837,13000000
30,332,Shelvin Mack,29.2,8,G,45.15073099415202,1512601
31,411,Tony Parker,37.2,17,G,109.78452380952385,5000000
32,458,Terry Rozier,25.3,4,G,0.7722222222222237,3050390
33,554,Marvin Williams,33.1,14,F,44.63348214285714,14087500
34,571,Cody Zeller,26.8,6,C,65.30639880952383,13528090
